ADDRESS_LATITUDE,ADDRESS_LONGITUDE,LOCATION_ID,DLOBO_LOC_ADDRESS,DLOBO_LOC_CITY,DLOBO_LOC_STATE,DLOBO_LOC_ZIPCODE,CLEAN_ZIP,FULL_ADDRESS
34.6083708,-92.5334365,118,7801 ALCOA ROAD,BENTON,AR,72019,72019,"7801 ALCOA ROAD,BENTON,AR,72019"
45.3973582,-74.0544557,787,2900 RUE LA GARE,VAUDREUIL-DORION,QC,J7V 9J5,J7V 9,"2900 RUE LA GARE,VAUDREUIL-DORION,QC,J7V 9"
29.0248271,-82.1591343,293,2020 SW HIGHWAY 484,OCALA,FL,34473,34473,"2020 SW HIGHWAY 484,OCALA,FL,34473"
38.840342,-91.228114,674,1 CAMPBRANCH RD,WARRENTON,MO,63383,63383,"1 CAMPBRANCH RD,WARRENTON,MO,63383"
33.5620912,-86.8307449,602,224 DANIEL PAYNE DRIVE,BIRMINGHAM,AL,35207,35207,"224 DANIEL PAYNE DRIVE,BIRMINGHAM,AL,35207"
31.7033,-106.291,981,9525 ESCOBAR DRIVE,EL PASO,TX,79907,79907,"9525 ESCOBAR DRIVE,EL PASO,TX,79907"
31.9152892,-102.214678,257,4015 SOUTH FM 1788,MIDLAND,TX,79706,79706,"4015 SOUTH FM 1788,MIDLAND,TX,79706"
40.2677136,-82.9246924,696,7735 EAST STATE RT 37,BERKSHIRE,OH,43074,43074,"7735 EAST STATE RT 37,BERKSHIRE,OH,43074"
47.9798611,-102.4610465,1060,8258 39TH STREET NW,NEW TOWN,ND,59763,59763,"8258 39TH STREET NW,NEW TOWN,ND,59763"
33.6615278,-114.2368672,328,1201 WEST MAIN STREET,QUARTZSITE,AZ,85359,85359,"1201 WEST MAIN STREET,QUARTZSITE,AZ,85359"
30.1532,-95.1986,67810,21031 GENE CAMPBELL RD,NEW CANEY,TX,77357-0000,77357,"21031 GENE CAMPBELL RD,NEW CANEY,TX,77357"
33.560694,-83.4783918,420,1881 EATONTON ROAD,MADISON,GA,30650,30650,"1881 EATONTON ROAD,MADISON,GA,30650"
40.697916,-84.089033,55236,2995 SAINT JOHNS ROAD,LIMA,OH,45804,45804,"2995 SAINT JOHNS ROAD,LIMA,OH,45804"
36.177095,-85.9493688,4597,502 GORDONSVILLE HIGHWAY,GORDONSVILLE,TN,38563,38563,"502 GORDONSVILLE HIGHWAY,GORDONSVILLE,TN,38563"
40.9647475,-80.1397553,81,2010 NEW CASTLE ROAD,PORTERSVILLE,PA,16051,16051,"2010 NEW CASTLE ROAD,PORTERSVILLE,PA,16051"
41.4480507,-81.6694055,83328,2609 HARVARD AVENUE,NEWBURGH HEIGHTS,OH,44105,44105,"2609 HARVARD AVENUE,NEWBURGH HEIGHTS,OH,44105"
28.921256,-98.540883,40524,1202 OAK STREET,JOURDANTON,TX,78026,78026,"1202 OAK STREET,JOURDANTON,TX,78026"
38.3116046,-88.9574589,889,101 SOUTH 45TH STREET,MT. VERNON,IL,62864,62864,"101 SOUTH 45TH STREET,MT. VERNON,IL,62864"
41.0519437,-102.0686388,90015,"109 CIRCLE ROAD, STE. 300",BIG SPRINGS,NE,69122,69122,"109 CIRCLE ROAD, STE. 300,BIG SPRINGS,NE,69122"
54.8192553,-112.6875776,845,1ST AVE. 1ST STREET,GRASSLAND,AB,T0A 1V0,T0A 1,"1ST AVE. 1ST STREET,GRASSLAND,AB,T0A 1"
49.94156,-97.2287621,804,1747 BROOKSIDE BLVD.,WINNIPEG,MB,R3C 2E6,R3C 2,"1747 BROOKSIDE BLVD.,WINNIPEG,MB,R3C 2"
40.4630779,-76.3398367,518,2210 CAMP SWATARA ROAD,FRYSTOWN,PA,17067,17067,"2210 CAMP SWATARA ROAD,FRYSTOWN,PA,17067"
39.6003193,-94.7923775,1323,1307 SE GRAND DD HIGHWAY,FAUCETT,MO,64448,64448,"1307 SE GRAND DD HIGHWAY,FAUCETT,MO,64448"
34.3481143,-83.3199462,877,10200 OLD FEDERAL ROAD,CARNESVILLE,GA,30521,30521,"10200 OLD FEDERAL ROAD,CARNESVILLE,GA,30521"
0,0,21001,5700 HOLLYWOOD BLVD,LOS ANGELES,CA,90028,90028,"5700 HOLLYWOOD BLVD,LOS ANGELES,CA,90028"
39.9074209,-88.8956076,368,4030 EAST BOYD ROAD,DECATUR,IL,62521,62521,"4030 EAST BOYD ROAD,DECATUR,IL,62521"
39.551165,-86.0459895,37,2962 EAST 500 NORTH,WHITELAND,IN,46184,46184,"2962 EAST 500 NORTH,WHITELAND,IN,46184"
34.5380156,-86.9109078,441,3240 POINT MALLARD PARKWAY,PRICEVILLE,AL,35603,35603,"3240 POINT MALLARD PARKWAY,PRICEVILLE,AL,35603"
34.23026,-83.873865,66644,3839 MUNDY HILL ROAD,OAKWOOD,GA,30566,30566,"3839 MUNDY HILL ROAD,OAKWOOD,GA,30566"
50.9495117,-113.9796831,785,11511 - 40 ST. S.E,CALGARY,AB,T2Z 4M8,T2Z 4,"11511 - 40 ST. S.E,CALGARY,AB,T2Z 4"
29.442087,-98.666459,38819,8770 STATE HIGHWAY 151,SAN ANTONIO,TX,78245,78245,"8770 STATE HIGHWAY 151,SAN ANTONIO,TX,78245"
39.7344144,-86.0644902,86131,5959 SOUTHEASTERN AVENUE,INDIANAPOLIS,IN,46203,46203,"5959 SOUTHEASTERN AVENUE,INDIANAPOLIS,IN,46203"
41.7488529,-87.7990415,87422,7859 SOUTH HARLEM AVENUE,BURBANK,IL,60459,60459,"7859 SOUTH HARLEM AVENUE,BURBANK,IL,60459"
37.7523612,-99.9802622,657,2524 E WYATT EARP BLVD,DODGE CITY,KS,67801,67801,"2524 E WYATT EARP BLVD,DODGE CITY,KS,67801"
35.1478917,-77.1068913,88277,370 WASHINGTON POST ROAD,NEW BERN,NC,28560,28560,"370 WASHINGTON POST ROAD,NEW BERN,NC,28560"
29.9734469,-90.2991974,1164,10405 AIRLINE HIGHWAY,ST. ROSE,LA,70087,70087,"10405 AIRLINE HIGHWAY,ST. ROSE,LA,70087"
39.3391896,-82.9520292,597,1111 EAST MAIN,CHILLICOTHE,OH,45601,45601,"1111 EAST MAIN,CHILLICOTHE,OH,45601"
40.739755,-114.066704,147,1200 WENDOVER BOULEVARD,WEST WENDOVER,NV,89883,89883,"1200 WENDOVER BOULEVARD,WEST WENDOVER,NV,89883"
39.8518601,-85.4134935,655,5300 SOUTH STATE RTE. 3,SPICELAND,IN,47385,47385,"5300 SOUTH STATE RTE. 3,SPICELAND,IN,47385"
38.8748131,-97.6098791,90014,"1944 NORTH 9TH STREET, SUITE 102",SALINA,KS,67401,67401,"1944 NORTH 9TH STREET, SUITE 102,SALINA,KS,67401"
40.9589085,-80.660263,11,10920 MARKET STREET,NORTH LIMA,OH,44452,44452,"10920 MARKET STREET,NORTH LIMA,OH,44452"
40.9313859,-117.8055892,485,5625 W. WINNEMUCCA BLVD.,WINNEMUCCA,NV,89445,89445,"5625 W. WINNEMUCCA BLVD.,WINNEMUCCA,NV,89445"
30.7531239,-83.2720929,73,3495 MADISON HIGHWAY,VALDOSTA,GA,31601,31601,"3495 MADISON HIGHWAY,VALDOSTA,GA,31601"
35.0709,-85.1912,9702,4326 JERSEY PIKE,CHATTANOOGA,TN,37416,37416,"4326 JERSEY PIKE,CHATTANOOGA,TN,37416"
44.6155331,-94.0633895,9619,39625 230TH ST.,ARLINGTON,MN,55307,55307,"39625 230TH ST.,ARLINGTON,MN,55307"
39.5565081,-119.4906901,946,500 USA PARKWAY,RENO,NV,89434,89434,"500 USA PARKWAY,RENO,NV,89434"
28.4525161,-99.2381108,488,921 N. IH 35,COTULLA,TX,78014,78014,"921 N. IH 35,COTULLA,TX,78014"
30.4128266,-81.5717463,1149,3515 ZOO PARKWAY,JACKSONVILLE,FL,32226,32226,"3515 ZOO PARKWAY,JACKSONVILLE,FL,32226"
38.0198781,-79.141011,396,3541 LEE JACKSON HIGHWAY,STAUNTON,VA,24401,24401,"3541 LEE JACKSON HIGHWAY,STAUNTON,VA,24401"
37.8273064,-85.723974,399,150 PARK PLAZA BOULEVARD,LEBANON JUNCTION,KY,40150,40150,"150 PARK PLAZA BOULEVARD,LEBANON JUNCTION,KY,40150"
35.594995,-97.549077,41475,12300 N PENN AVE,OKLAHOMA CITY,OK,73120,73120,"12300 N PENN AVE,OKLAHOMA CITY,OK,73120"
28.4715408,-98.5469655,1002,3080 N TX-16,TILDEN,TX,78072,78072,"3080 N TX-16,TILDEN,TX,78072"
36.2051,-83.0237,66839,1655 POTTERTOWN RD,MIDWAY,TN,37809-3117,37809,"1655 POTTERTOWN RD,MIDWAY,TN,37809"
47.2397909,-122.3884061,3824,3013 20TH ST. E,FIFE,WA,98424,98424,"3013 20TH ST. E,FIFE,WA,98424"
0,0,99171098,400 DOREMUS AVENUE,NEWARK,NJ,7105,7105,"400 DOREMUS AVENUE,NEWARK,NJ,7105"
37.9982,-91.621,66869,1100 MATLOCK DR,SAINT JAMES,MO,65559-9026,65559,"1100 MATLOCK DR,SAINT JAMES,MO,65559"
29.7950065,-95.0333801,725,1876 EAST FREEWAY,BAYTOWN,TX,77521,77521,"1876 EAST FREEWAY,BAYTOWN,TX,77521"
39.8447,-84.1928,66380,6955 MILLER RD.,DAYTON,OH,45414,45414,"6955 MILLER RD.,DAYTON,OH,45414"
41.2008481,-73.1916435,2404,169 NORTH AVENUE,BRIDGEPORT,CT,6606,6606,"169 NORTH AVENUE,BRIDGEPORT,CT,6606"
33.3204227,-84.7781678,422,1645 SOUTH HIGHWAY 29,NEWNAN,GA,30263,30263,"1645 SOUTH HIGHWAY 29,NEWNAN,GA,30263"
41.2453719,-112.0193656,294,1670 WEST 12TH STREET,OGDEN,UT,84404,84404,"1670 WEST 12TH STREET,OGDEN,UT,84404"
30.2939811,-91.9145419,274,2112 REES STREET,BREAUX BRIDGE,LA,70517,70517,"2112 REES STREET,BREAUX BRIDGE,LA,70517"
41.1363693,-104.7067523,402,8020 CAMPSTOOL ROAD,CHEYENNE,WY,82007,82007,"8020 CAMPSTOOL ROAD,CHEYENNE,WY,82007"
41.4653687,-82.0607195,4,39115 COLORADO ROAD,AVON,OH,44011,44011,"39115 COLORADO ROAD,AVON,OH,44011"
34.0647455,-81.0233716,712,5901 FAIRFIELD ROAD,COLUMBIA,SC,29203,29203,"5901 FAIRFIELD ROAD,COLUMBIA,SC,29203"
42.278418,-84.3041159,81407,6300 ANN ARBOR RD,JACKSON,MI,49201,49201,"6300 ANN ARBOR RD,JACKSON,MI,49201"
30.5059984,-99.7767833,1006,2342 NORTH MAIN STREET,JUNCTION,TX,76849,76849,"2342 NORTH MAIN STREET,JUNCTION,TX,76849"
34.655739,-84.980382,421,142 CARBONDALE ROAD,DALTON,GA,30721,30721,"142 CARBONDALE ROAD,DALTON,GA,30721"
29.714247,-95.1965181,1057,1305 PASADENA FREEWAY,PASADENA,TX,77506,77506,"1305 PASADENA FREEWAY,PASADENA,TX,77506"
31.9675299,-102.252189,1145,11501 STATE HIGHWAY 191,MIDLAND,TX,79707,79707,"11501 STATE HIGHWAY 191,MIDLAND,TX,79707"
41.7890496,-80.8557824,694,2349 CENTER ROAD,AUSTINBURG,OH,44010,44010,"2349 CENTER ROAD,AUSTINBURG,OH,44010"
35.214163,-101.862131,10160,2305 SW 3RD AVE,AMARILLO,TX,79106,79106,"2305 SW 3RD AVE,AMARILLO,TX,79106"
41.048684,-86.2170525,1117,389 ROCHESTER CROSSING,ROCHESTER,IN,46975,46975,"389 ROCHESTER CROSSING,ROCHESTER,IN,46975"
0,0,99170676,9351 CANAL ROAD,GULFPORT,MS,39503,39503,"9351 CANAL ROAD,GULFPORT,MS,39503"
41.160506,-75.404903,66880,100 VETERANS DR,TOBYHANNA,PA,18466-8900,18466,"100 VETERANS DR,TOBYHANNA,PA,18466"
32.730247,-97.622119,9733,6000 I H 20,ALEDO,TX,76008,76008,"6000 I H 20,ALEDO,TX,76008"
31.4286133,-83.5163078,192,4431 UNION ROAD,TIFTON,GA,31794,31794,"4431 UNION ROAD,TIFTON,GA,31794"
41.5227102,-83.462136,12,3430 LIBBEY ROAD,PERRYSBURG,OH,43551,43551,"3430 LIBBEY ROAD,PERRYSBURG,OH,43551"
42.1099831,-77.155529,89932,891 ADDISON ROAD,PAINTED POST,NY,14870,14870,"891 ADDISON ROAD,PAINTED POST,NY,14870"
35.194246,-101.723823,723,9601 I-40 E EXIT 76,AMARILLO,TX,79118,79118,"9601 I-40 E EXIT 76,AMARILLO,TX,79118"
36.33149,-102.072954,1083,100 SOUTH POPLAR,STRATFORD,TX,79084,79084,"100 SOUTH POPLAR,STRATFORD,TX,79084"
0,0,99987961,5508 LONAS DR,KNOXVILLE,TN,37919,37919,"5508 LONAS DR,KNOXVILLE,TN,37919"
40.781457,-81.420708,59400,3825 SOUTHWAY STREET SOUTHWEST,CANTON,OH,44706,44706,"3825 SOUTHWAY STREET SOUTHWEST,CANTON,OH,44706"
34.829351,-82.54423,64901,309 ROLLING HILLS CIR,EASLEY,SC,29640,29640,"309 ROLLING HILLS CIR,EASLEY,SC,29640"
35.9604878,-83.8232321,241,2801 E. GOV. JOHN SEVIER HIGHWAY,KNOXVILLE,TN,37914,37914,"2801 E. GOV. JOHN SEVIER HIGHWAY,KNOXVILLE,TN,37914"
32.4297,-93.7796,989,SOUTHPORT DRIVE,SHREVEPORT,LA,71102,71102,"SOUTHPORT DRIVE,SHREVEPORT,LA,71102"
41.617623,-109.2344761,102,151 INDUSTRIAL DRIVE,ROCK SPRINGS,WY,82901,82901,"151 INDUSTRIAL DRIVE,ROCK SPRINGS,WY,82901"
39.5239429,-119.7674913,947,1055 SOUTH ROCK BLVD,SPARKS,NV,89431,89431,"1055 SOUTH ROCK BLVD,SPARKS,NV,89431"
42.1362499,-83.239162,895,21055 WEST ROAD,WOODHAVEN,MI,48183,48183,"21055 WEST ROAD,WOODHAVEN,MI,48183"
39.56908,-119.81984,9632,280 PARR BLVD,RENO,NV,89512,89512,"280 PARR BLVD,RENO,NV,89512"
41.2757542,-112.0288417,8718,975 NORTH 2000 WEST,FARR WEST,UT,84404,84404,"975 NORTH 2000 WEST,FARR WEST,UT,84404"
35.1575969,-90.1372612,429,1100 MARTIN LUTHER KING BOULEVARD,WEST MEMPHIS,AR,72301,72301,"1100 MARTIN LUTHER KING BOULEVARD,WEST MEMPHIS,AR,72301"
0,0,99170492,170 VALLEY STREET,CADDO VALLEY,AR,71923,71923,"170 VALLEY STREET,CADDO VALLEY,AR,71923"
36.227739,-89.726098,442,1701 HIGHWAY 84 EAST,HAYTI,MO,63851,63851,"1701 HIGHWAY 84 EAST,HAYTI,MO,63851"
41.466584,-82.021046,63335,35901 CHESTER ROAD,AVON,OH,44011,44011,"35901 CHESTER ROAD,AVON,OH,44011"
36.3763272,-84.2477677,1577,106 COMFORT LANE,PIONEER,TN,37847,37847,"106 COMFORT LANE,PIONEER,TN,37847"
43.4583356,-76.1154948,1339,2023 NY-104,PARISH,NY,13131,13131,"2023 NY-104,PARISH,NY,13131"
43.448,-88.789,67839,115 DISTRIBUTION WAY,BEAVER DAM,WI,53916-8809,53916,"115 DISTRIBUTION WAY,BEAVER DAM,WI,53916"
41.1286259,-80.7704942,3,1150 NORTH CANFIELD-NILES ROAD,AUSTINTOWN,OH,44515,44515,"1150 NORTH CANFIELD-NILES ROAD,AUSTINTOWN,OH,44515"
39.958751,-83.370175,454,1365 SR 42 NE,LONDON,OH,43140,43140,"1365 SR 42 NE,LONDON,OH,43140"
43.439351,-112.1156694,1043,6485 WEST OVERLAND DRIVE,IDAHO FALLS,ID,83402,83402,"6485 WEST OVERLAND DRIVE,IDAHO FALLS,ID,83402"
39.684636,-75.485705,688,326 SLAPES CORNER,CARNEYS POINT,NJ,8069,8069,"326 SLAPES CORNER,CARNEYS POINT,NJ,8069"
0,0,99171400,5508 LONAS DR,KNOXVILLE,TN,37919,37919,"5508 LONAS DR,KNOXVILLE,TN,37919"
37.8561505,-121.2764225,1017,345 ROTH ROAD,LATHROP,CA,95330,95330,"345 ROTH ROAD,LATHROP,CA,95330"
30.7544297,-83.2714229,3819,3445 MADISON HIGHWAY,VALDOSTA,GA,31601,31601,"3445 MADISON HIGHWAY,VALDOSTA,GA,31601"
38.5758319,-90.0982559,642,140 RACEHORSE DR.,ALORTON,IL,62207,62207,"140 RACEHORSE DR.,ALORTON,IL,62207"
30.2837884,-81.9840583,87,1050 US 301 SOUTH,BALDWIN,FL,32234,32234,"1050 US 301 SOUTH,BALDWIN,FL,32234"
