ADDRESS_STATENAME,ADDRESS_STATEABBRV,ADDRESS_CITY,ADDRESS_ZIPCODE,ADDRESS_COUNTY,ADDRESS_STCO,ADDRESS_COUNTY_FIPS
Alabama,AL,Birmingham,35204,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35204,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35204,Calhoun County,AL-Calhoun County,1015
Alabama,AL,Birmingham,35204,Madison County,AL-Madison County,1089
Alabama,AL,Birmingham,35204,Madison County,AL-Madison County,1093
Alabama,AL,Birmingham,35204,Etowah County,AL-Etowah County,1055
Alabama,AL,Birmingham,35204,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35204,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35204,Manatee County,AL-Manatee County,-
Alabama,AL,Birmingham,35204,Union County,AL-Union County,-
Alabama,AL,Birmingham,35204,Hinds County,AL-Hinds County,-
Alabama,AL,Birmingham,35204,Boone County,AL-Boone County,-
Alabama,AL,Birmingham,35207,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35207,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35207,Etowah County,AL-Etowah County,1055
Alabama,AL,Birmingham,35207,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35207,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35207,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Birmingham,35207,Manatee County,AL-Manatee County,-
Alabama,AL,Birmingham,35207,Hall County,AL-Hall County,1065
Alabama,AL,Birmingham,35207,Bibb County,AL-Bibb County,1007
Alabama,AL,Birmingham,35207,Iowa County,AL-Iowa County,-
Alabama,AL,Birmingham,35207,Norfolk City County,AL-Norfolk City County,-
Alabama,AL,Cottondale,35453,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Cottondale,35453,Marion County,AL-Marion County,1093
Alabama,AL,Cottondale,35453,Marion County,AL-Marion County,1089
Alabama,AL,Cottondale,35453,Marion County,AL-Marion County,1087
Alabama,AL,Cottondale,35453,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Cottondale,35453,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Cottondale,35453,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Cottondale,35453,Greene County,AL-Greene County,1063
Alabama,AL,Cottondale,35453,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Cottondale,35453,Citrus County,AL-Citrus County,-
Alabama,AL,Cottondale,35453,Tattnall County,AL-Tattnall County,-
Alabama,AL,Cottondale,35453,Crawford County,AL-Crawford County,-
Alabama,AL,Cottondale,35453,Hunt County,AL-Hunt County,-
Alabama,AL,Decatur,35601,Morgan County,AL-Morgan County,1103
Alabama,AL,Decatur,35601,Mobile County,AL-Mobile County,1097
Alabama,AL,Decatur,35601,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Decatur,35601,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Decatur,35601,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Decatur,35601,Talladega County,AL-Talladega County,1121
Alabama,AL,Decatur,35601,Marshall County,AL-Marshall County,1095
Alabama,AL,Decatur,35601,Hernando County,AL-Hernando County,-
Alabama,AL,Decatur,35601,Stearns County,AL-Stearns County,-
Alabama,AL,Decatur,35601,Lake County,AL-Lake County,-
Alabama,AL,Decatur,35601,Washington County,AL-Washington County,1129
Alabama,AL,Dothan,36301,Houston County,AL-Houston County,1069
Alabama,AL,Dothan,36301,Houston County,AL-Houston County,1069
Alabama,AL,Dothan,36301,Coffee County,AL-Coffee County,1031
Alabama,AL,Dothan,36301,Dale County,AL-Dale County,1045
Alabama,AL,Dothan,36301,Dale County,AL-Dale County,1065
Alabama,AL,Dothan,36301,Houston County,AL-Houston County,1069
Alabama,AL,Dothan,36301,Henry County,AL-Henry County,1067
Alabama,AL,Dothan,36301,Houston County,AL-Houston County,1069
Alabama,AL,Dothan,36301,Houston County,AL-Houston County,1069
Alabama,AL,Dothan,36301,Yavapai County,AL-Yavapai County,-
Alabama,AL,Dothan,36301,Merrimack County,AL-Merrimack County,-
Alabama,AL,Dothan,36301,Grundy County,AL-Grundy County,-
Alabama,AL,Good Hope,35055,Cullman County,AL-Cullman County,1043
Alabama,AL,Good Hope,35055,Cullman County,AL-Cullman County,1043
Alabama,AL,Good Hope,35055,Saint Clair County,AL-Saint Clair County,-
Alabama,AL,Good Hope,35055,Chilton County,AL-Chilton County,1021
Alabama,AL,Good Hope,35055,Maricopa County,AL-Maricopa County,-
Alabama,AL,Good Hope,35055,Jasper County,AL-Jasper County,-
Alabama,AL,Good Hope,35055,Washington County,AL-Washington County,1129
Alabama,AL,Good Hope,35055,Moniteau County,AL-Moniteau County,-
Alabama,AL,Good Hope,35055,Butler County,AL-Butler County,1013
Alabama,AL,Good Hope,35055,Dickson County,AL-Dickson County,1071
Alabama,AL,Good Hope,35055,Windsor County,AL-Windsor County,-
Alabama,AL,Hope Hull,36043,Montgomery County,AL-Montgomery County,1101
Alabama,AL,Hope Hull,36043,Macon County,AL-Macon County,1087
Alabama,AL,Hope Hull,36043,Crenshaw County,AL-Crenshaw County,1041
Alabama,AL,Hope Hull,36043,Elmore County,AL-Elmore County,1051
Alabama,AL,Hope Hull,36043,Crenshaw County,AL-Crenshaw County,1041
Alabama,AL,Hope Hull,36043,Elmore County,AL-Elmore County,1051
Alabama,AL,Hope Hull,36043,Crenshaw County,AL-Crenshaw County,1041
Alabama,AL,Hope Hull,36043,Lowndes County,AL-Lowndes County,1085
Alabama,AL,Hope Hull,36043,Montgomery County,AL-Montgomery County,1101
Alabama,AL,Hope Hull,36043,Barbour County,AL-Barbour County,1005
Alabama,AL,Hope Hull,36043,Lowndes County,AL-Lowndes County,1085
Alabama,AL,Lincoln,35096,Talladega County,AL-Talladega County,1121
Alabama,AL,Lincoln,35096,Cherokee County,AL-Cherokee County,1019
Alabama,AL,Lincoln,35096,Etowah County,AL-Etowah County,1055
Alabama,AL,Lincoln,35096,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Lincoln,35096,Marshall County,AL-Marshall County,1095
Alabama,AL,Lincoln,35096,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Lincoln,35096,Maricopa County,AL-Maricopa County,-
Alabama,AL,Lincoln,35096,Habersham County,AL-Habersham County,-
Alabama,AL,Lincoln,35096,Johnson County,AL-Johnson County,-
Alabama,AL,Lincoln,35096,Polk County,AL-Polk County,-
Alabama,AL,Lincoln,35096,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Loxley,36551,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Loxley,36551,Washington County,AL-Washington County,1129
Alabama,AL,Loxley,36551,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Loxley,36551,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Loxley,36551,Clarke County,AL-Clarke County,1025
Alabama,AL,Loxley,36551,Mobile County,AL-Mobile County,1097
Alabama,AL,Loxley,36551,Clarke County,AL-Clarke County,1025
Alabama,AL,Loxley,36551,Clay County,AL-Clay County,1027
Alabama,AL,Loxley,36551,Autauga County,AL-Autauga County,1001
Alabama,AL,Loxley,36551,Lawrence County,AL-Lawrence County,1079
Alabama,AL,Loxley,36551,Pottawatomie County,AL-Pottawatomie County,-
Alabama,AL,Mccalla,35111,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Mccalla,35111,Montgomery County,AL-Montgomery County,1101
Alabama,AL,Mccalla,35111,Blount County,AL-Blount County,1009
Alabama,AL,Mccalla,35111,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Mccalla,35111,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Mccalla,35111,Tallapoosa County,AL-Tallapoosa County,1123
Alabama,AL,Mccalla,35111,Santa Clara County,AL-Santa Clara County,-
Alabama,AL,Mccalla,35111,Marion County,AL-Marion County,1093
Alabama,AL,Mccalla,35111,Marion County,AL-Marion County,1089
Alabama,AL,Mccalla,35111,Marion County,AL-Marion County,1087
Alabama,AL,Mccalla,35111,Cobb County,AL-Cobb County,-
Alabama,AL,Mccalla,35111,Cole County,AL-Cole County,-
Alabama,AL,Mccalla,35111,Hamilton County,AL-Hamilton County,-
Alabama,AL,Priceville,35603,Morgan County,AL-Morgan County,1103
Alabama,AL,Priceville,35603,Lawrence County,AL-Lawrence County,1079
Alabama,AL,Priceville,35603,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Priceville,35603,Jefferson County,AL-Jefferson County,1073
Alabama,AL,Priceville,35603,Placer County,AL-Placer County,-
Alabama,AL,Priceville,35603,Hillsborough County,AL-Hillsborough County,-
Alabama,AL,Priceville,35603,Habersham County,AL-Habersham County,-
Alabama,AL,Priceville,35603,Benton County,AL-Benton County,-
Alabama,AL,Priceville,35603,Dade County,AL-Dade County,1045
Alabama,AL,Priceville,35603,Sullivan County,AL-Sullivan County,-
Alabama,AL,Priceville,35603,Gregg County,AL-Gregg County,-
Alabama,AL,Satsuma,36572,Mobile County,AL-Mobile County,1097
Alabama,AL,Satsuma,36572,Lowndes County,AL-Lowndes County,1085
Alabama,AL,Satsuma,36572,Mobile County,AL-Mobile County,1097
Alabama,AL,Satsuma,36572,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Satsuma,36572,Mobile County,AL-Mobile County,1097
Alabama,AL,Satsuma,36572,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Satsuma,36572,Madison County,AL-Madison County,1089
Alabama,AL,Satsuma,36572,Madison County,AL-Madison County,1093
Alabama,AL,Satsuma,36572,Winston County,AL-Winston County,1133
Alabama,AL,Satsuma,36572,Marshall County,AL-Marshall County,1095
Alabama,AL,Satsuma,36572,Hancock County,AL-Hancock County,-
Alabama,AL,Satsuma,36572,Marion County,AL-Marion County,1093
Alabama,AL,Satsuma,36572,Marion County,AL-Marion County,1089
Alabama,AL,Satsuma,36572,Marion County,AL-Marion County,1087
Alabama,AL,Theodore,36582,Mobile County,AL-Mobile County,1097
Alabama,AL,Theodore,36582,Marengo County,AL-Marengo County,1091
Alabama,AL,Theodore,36582,Mobile County,AL-Mobile County,1097
Alabama,AL,Theodore,36582,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Theodore,36582,Baldwin County,AL-Baldwin County,1003
Alabama,AL,Theodore,36582,Clarke County,AL-Clarke County,1025
Alabama,AL,Theodore,36582,Clay County,AL-Clay County,1027
Alabama,AL,Theodore,36582,Kosciusko County,AL-Kosciusko County,-
Alabama,AL,Theodore,36582,Union County,AL-Union County,-
Alabama,AL,Theodore,36582,Coos County,AL-Coos County,1037
Alabama,AL,Theodore,36582,Marion County,AL-Marion County,1093
Alabama,AL,Theodore,36582,Marion County,AL-Marion County,1089
Alabama,AL,Theodore,36582,Marion County,AL-Marion County,1087
Alabama,AL,Tuscaloosa,35405,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Tuscaloosa,35405,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Tuscaloosa,35405,Winston County,AL-Winston County,1133
Alabama,AL,Tuscaloosa,35405,Tuscaloosa County,AL-Tuscaloosa County,1125
Alabama,AL,Tuscaloosa,35405,Tuscaloosa County,AL-Tuscaloosa County,1125
