location_id,dim_store_id,loc_stateabbrv,loc_city2,loc_city,loc_zipcode,loc_lat,loc_long,location_type
75,1277,AL,Satsuma,SATSUMA,36572,30.8728848,-88.046516,is_bluebook
76,1032,AL,Tuscaloosa,TUSCALOOSA,35405,33.173226,-87.479251,is_bluebook
302,1909,AL,Theodore,THEODORE,36582,30.558803,-88.2053872,is_bluebook
369,2230,AL,Birmingham,BIRMINGHAM,35204,33.5291994,-86.8514849,is_dealer
441,606,AL,Priceville,PRICEVILLE,35603,34.5380156,-86.9109078,is_bluebook
497,1552,AL,Lincoln,LINCOLN,35096,33.593045,-86.159239,is_bluebook
601,197,AL,Mccalla,MCCALLA,35111,33.3216469,-87.047254,is_bluebook
602,1153,AL,Birmingham,BIRMINGHAM,35207,33.5620912,-86.8307449,is_bluebook
603,2297,AL,Dothan,DOTHAN,36301,31.191815,-85.3998802,is_bluebook
604,142,AL,Hope Hull,HOPE HULL,36043,32.1941247,-86.4202204,is_bluebook
1549,2845,AL,Lincoln,LINCOLN,35096,33.5938951,-86.1216189,is_bluebook
1550,2844,AL,Good Hope,GOOD HOPE,35055,34.1170475,-86.8640576,is_bluebook
4555,2869,AL,Cottondale,COTTONDALE,35453,33.1787975,-87.4460379,is_bluebook
118,418,AR,Benton,BENTON,72019,34.6083708,-92.5334365,is_bluebook
145,666,AR,Springdale,SPRINGDALE,72762,36.1758475,-94.1931657,is_bluebook
332,604,AR,North Little Rock,NORTH LITTLE ROCK,72117,34.7813642,-92.1281619,is_bluebook
429,1340,AR,West Memphis,WEST MEMPHIS,72301,35.1575969,-90.1372612,is_bluebook
430,164,AR,Russellville,RUSSELLVILLE,72802,35.2802876,-93.0920588,is_bluebook
492,2241,AR,Caddo Valley,CADDO VALLEY,71923,34.1872919,-93.069524,is_bluebook
605,56,AR,Russellville,RUSSELLVILLE,72801,35.2837042,-93.0901357,is_bluebook
606,956,AR,Texarkana,TEXARKANA,71854,33.5136982,-93.9481058,is_bluebook
607,1764,AR,West Memphis,WEST MEMPHIS,72301,35.1543348,-90.1432868,is_bluebook
180,2077,AZ,Bellemont,BELLEMONT,86015,35.2385962,-111.822046,is_bluebook
211,711,AZ,Lake Havasu City,LAKE HAVASU CITY,86404,34.7284136,-114.3150134,is_bluebook
279,2108,AZ,Rio Rico,RIO RICO,85648,31.4308905,-110.9621427,is_bluebook
328,2207,AZ,Quartzsite,QUARTZSITE,85359,33.6615278,-114.2368672,is_bluebook
458,79,AZ,Eloy,ELOY,85231,32.7385209,-111.5493189,is_bluebook
459,2236,AZ,Avondale,AVONDALE,85323,33.4567713,-112.2735726,is_bluebook
505,1169,AZ,Yuma,YUMA,85367,32.6665442,-114.3927258,is_dealer
593,165,AZ,Tucson,TUCSON,85756,32.1258021,-110.8741394,is_bluebook
608,691,AZ,Ehrenberg,EHRENBERG,85334,33.602133,-114.523475,is_bluebook
609,1560,AZ,Eloy,ELOY,85131,32.7325178,-111.5493916,is_bluebook
610,1880,AZ,Kingman,KINGMAN,86401,35.219685,-114.0075362,is_bluebook
611,1968,AZ,Phoenix,PHOENIX,85043,33.4611674,-112.2058875,is_bluebook
