cntyName,laneName,stteName
Jefferson County,Co Rd 65,Alabama
Sumter County,US Hwy 11,Alabama
Calhoun County,US Hwy 278,Alabama
Fayette County,State Rte 107,Alabama
Baldwin County,I- 65,Alabama
Monroe County,US Hwy 84,Alabama
Jefferson County,I- 20,Alabama
Jackson County,Al Highway 71,Alabama
Franklin County,State Rte 187,Alabama
Sumter County,State Rte 39,Alabama
Tuscaloosa County,US Hwy 82 W,Alabama
Lauderdale County,State Rte 133,Alabama
Wilcox County,State Rte 221,Alabama
Dallas County,State Rte 219,Alabama
Russell County,State Rte 169,Alabama
Autauga County,State Rte 111,Alabama
Lowndes County,I- 65,Alabama
Clarke County,State Hwy 154,Alabama
Sumter County,State Rte 28 E,Alabama
Monroe County,State Rte 47,Alabama
Autauga County,I- 65,Alabama
Walker County,Old US Hwy 78,Alabama
Lawrence County,State Rte 157,Alabama
Barbour County,State Rte 30,Alabama
Butler County,State Rte 55,Alabama
Marion County,US Hwy 278,Alabama
Autauga County,Al Highway 14 W,Alabama
Autauga County,Autauga County 9,Alabama
Autauga County,Co Rd 21,Alabama
Autauga County,Selma Hwy,Alabama
Autauga County,State Rte 143,Alabama
Autauga County,US Hwy 31,Alabama
Autauga County,US Hwy 82,Alabama
Baldwin County,Bay Minette Byp,Alabama
Baldwin County,I- 10,Alabama
Baldwin County,McMeans Ave,Alabama
Baldwin County,State Rte 112,Alabama
Baldwin County,State Rte 287,Alabama
Baldwin County,State Rte 59,Alabama
Baldwin County,US Hwy 31,Alabama
Baldwin County,US Hwy 90,Alabama
Baldwin County,US Hwy 98,Alabama
Barbour County,Hwy 131,Alabama
Barbour County,State Hwy 10,Alabama
Barbour County,State Rte 105,Alabama
Barbour County,State Rte 165,Alabama
Barbour County,State Rte 239,Alabama
Barbour County,State Rte 285,Alabama
Barbour County,State Rte 51,Alabama
Barbour County,State Rte 95,Alabama
Barbour County,US Hwy 431,Alabama
Barbour County,US Hwy 431 S,Alabama
Barbour County,US Hwy 82,Alabama
Bibb County,Payne Lake Rd,Alabama
Bibb County,State Rte 219,Alabama
Bibb County,State Rte 25,Alabama
Bibb County,State Rte 5,Alabama
Bibb County,US Hwy 82,Alabama
Blount County,Al Highway 75,Alabama
Blount County,I- 65,Alabama
Blount County,State Hwy 160,Alabama
Blount County,State Hwy 67,Alabama
Blount County,State Hwy 75,Alabama
Blount County,State Hwy 79,Alabama
Blount County,State Rte 160,Alabama
Blount County,State Rte 53,Alabama
Blount County,State Rte 75,Alabama
Blount County,State Rte 79,Alabama
Blount County,US Hwy 231,Alabama
Blount County,US Hwy 278,Alabama
Bullock County,E US Hwy 82,Alabama
Bullock County,Hwy 51 S,Alabama
Bullock County,State Rte 110,Alabama
Bullock County,State Rte 223,Alabama
Bullock County,State Rte 239,Alabama
Bullock County,State Rte 51,Alabama
Bullock County,US Hwy 29,Alabama
Bullock County,US Hwy 82,Alabama
Butler County,Crum Foushee Hwy,Alabama
Butler County,I- 65,Alabama
Butler County,State Rte 10,Alabama
Butler County,State Rte 106,Alabama
Butler County,State Rte 185,Alabama
Butler County,State Rte 245,Alabama
Butler County,State Rte 263,Alabama
Butler County,US Hwy 31,Alabama
Calhoun County,Al Highway 77,Alabama
Calhoun County,Al Highway 9,Alabama
Calhoun County,Al-Hwy 21 N,Alabama
Calhoun County,Anniston Eastern Byp,Alabama
Calhoun County,I- 20,Alabama
Calhoun County,State Rte 144,Alabama
Calhoun County,State Rte 200,Alabama
Calhoun County,State Rte 202,Alabama
Calhoun County,State Rte 21,Alabama
Calhoun County,State Rte 77,Alabama
Calhoun County,State Rte 9,Alabama
