dimstate,dimcity,dimzipcode,dimcounty,dimcounty2
NY,Holtsville,501,Suffolk,Suffolk County
NY,Holtsville,544,Suffolk,Suffolk County
MA,Agawam,1001,Hampden,Hampden County
MA,Amherst,1002,Hampshire,Hampshire County
MA,Amherst,1003,Hampshire,Hampshire County
MA,Amherst,1004,Hampshire,Hampshire County
MA,Barre,1005,Worcester,Worcester County
MA,Belchertown,1007,Hampshire,Hampshire County
MA,Blandford,1008,Hampden,Hampden County
MA,Bondsville,1009,Hampden,Hampden County
MA,Brimfield,1010,Hampden,Hampden County
MA,Chester,1011,Hampden,Hampden County
MA,Chesterfield,1012,Hampshire,Hampshire County
MA,Chicopee,1013,Hampden,Hampden County
MA,Chicopee,1014,Hampden,Hampden County
MA,Chicopee,1020,Hampden,Hampden County
MA,Chicopee,1021,Hampden,Hampden County
MA,Chicopee,1022,Hampden,Hampden County
MA,Cummington,1026,Hampshire,Hampshire County
MA,Easthampton,1027,Hampshire,Hampshire County
MA,East Longmeadow,1028,Hampden,Hampden County
MA,East Otis,1029,Berkshire,Berkshire County
MA,Feeding Hills,1030,Hampden,Hampden County
MA,Gilbertville,1031,Worcester,Worcester County
MA,Goshen,1032,Hampshire,Hampshire County
MA,Granby,1033,Hampshire,Hampshire County
MA,Granville,1034,Hampden,Hampden County
MA,Hadley,1035,Hampshire,Hampshire County
MA,Hampden,1036,Hampden,Hampden County
MA,Hardwick,1037,Worcester,Worcester County
MA,Hatfield,1038,Hampshire,Hampshire County
MA,Haydenville,1039,Hampshire,Hampshire County
MA,Holyoke,1040,Hampden,Hampden County
MA,Holyoke,1041,Hampden,Hampden County
MA,Huntington,1050,Hampshire,Hampshire County
MA,Leeds,1053,Hampshire,Hampshire County
MA,Leverett,1054,Franklin,Franklin County
MA,Ludlow,1056,Hampden,Hampden County
MA,Monson,1057,Hampden,Hampden County
MA,North Amherst,1059,Hampshire,Hampshire County
MA,Northampton,1060,Hampshire,Hampshire County
MA,Northampton,1061,Hampshire,Hampshire County
MA,Florence,1062,Hampshire,Hampshire County
MA,Northampton,1063,Hampshire,Hampshire County
MA,North Hatfield,1066,Hampshire,Hampshire County
MA,Oakham,1068,Worcester,Worcester County
MA,Palmer,1069,Hampden,Hampden County
MA,Plainfield,1070,Hampshire,Hampshire County
MA,Russell,1071,Hampden,Hampden County
MA,Shutesbury,1072,Franklin,Franklin County
MA,Southampton,1073,Hampshire,Hampshire County
MA,South Barre,1074,Worcester,Worcester County
MA,South Hadley,1075,Hampshire,Hampshire County
MA,Southwick,1077,Hampden,Hampden County
MA,Thorndike,1079,Hampden,Hampden County
MA,Three Rivers,1080,Hampden,Hampden County
